Ref,Val,Package,PosX,PosY,Rot,Side
"CF","WIREPADSMD1,27-254","SMD1,27-2,54",-6.377996,-4.158803,90.000000,bottom
"INT","WIREPADSMD1,27-254","SMD1,27-2,54",-6.377996,-3.858803,90.000000,bottom
"LOGO1","OSHW-LOGOM","OSHW-LOGO-M",-5.854996,-4.222803,180.000000,bottom
"SAG","WIREPADSMD1,27-254","SMD1,27-2,54",-6.377996,-3.958803,90.000000,bottom
"ZX","WIREPADSMD1,27-254","SMD1,27-2,54",-6.377996,-4.058803,90.000000,bottom
"@HOLE0","","",5.292996,-3.688803,0.000000,top
"@HOLE1","","",6.402996,-3.688803,0.000000,top
"@HOLE2","","",5.292996,-4.568803,0.000000,top
"@HOLE3","","",6.402996,-4.568803,0.000000,top
"C1","27p","C0603",6.152996,-3.758803,-90.000000,top
"C2","27p","C0603",5.452996,-3.758803,90.000000,top
"C3","10u","AVX-A",5.502996,-4.058803,90.000000,top
"C4","100n","C0603",5.302996,-4.058803,-90.000000,top
"C5","10u","AVX-A",5.602996,-4.058803,90.000000,top
"C6","100n","C0603",5.402996,-4.058803,-90.000000,top
"C7","33n","C0603",6.008996,-4.344803,90.000000,top
"C8","33n","C0603",5.808996,-4.344803,90.000000,top
"C9","33n","C0603",5.608996,-4.344803,-90.000000,top
"C10","33n","C0603",6.408996,-4.344803,-90.000000,top
"C11","10u","AVX-A",6.052996,-4.058803,90.000000,top
"C12","100n","C0603",6.152996,-4.058803,-90.000000,top
"C13","33n","C0603",6.113996,-4.344803,-90.000000,top
"C14","33n","C0603",5.408996,-4.344803,-90.000000,top
"J1","10p-2.54","H10-2.54",5.842996,-4.588803,-90.000000,top
"Q1","3.58MHz","HC49UP",5.802996,-3.758803,180.000000,top
"R1","1K","R0603",5.508996,-4.344803,90.000000,top
"R2","1K","R0603",5.908996,-4.344803,90.000000,top
"R3","1K","R0603",6.308996,-4.344803,90.000000,top
"R4","1K","R0603",5.708996,-4.344803,90.000000,top
"R5","100","R0603",6.213996,-4.344803,90.000000,top
"R6","100","R0603",5.308996,-4.344803,90.000000,top
"U1","ADE7763ARSZSSOP20","SSOP-20_4.4x6.5mm_P0.65mm",5.831996,-4.070803,90.000000,top
